TAG,LABEL,SECTION,PRIORITY,STRING,TABLE,FUNCTION,DEFAULT,FILE
,HIGH RESOLUTION,ANTENNA MODEL,22,FALSE,FALSE,,DISABLED,ANT
,PULSE MODEL,,5,TRUE,TRUE,,A123Z_Pulse,PULSEQ
,PULSE GROUP,,5,TRUE,TRUE,,,PULSEQ
,GROUP REPEAT,,5,FALSE,TRUE,,1,PULSEQ
,DWELL TIME (MSEC),,5,FALSE,TRUE,,0.00000000,PULSEQ
,SCAN COMMAND,,5,FALSE,TRUE,,NONE,PULSEQ
,AZIMUTH (DEG),,5,FALSE,TRUE,,0.000,PULSEQ
,ELEVATION (DEG),,5,FALSE,TRUE,,0.000,PULSEQ
,CELL NUMBER,,5,FALSE,TRUE,,0,PULSEQ
,TRACK ID,,5,FALSE,TRUE,,0,PULSEQ
,ATENNUATION (DB),,5,FALSE,TRUE,,0.0000,PULSEQ
,LOBE WIDTH (DEG),ANTENNA MODEL,10,FALSE,TRUE,,2.000 DEG,ANT
,LOBE SEPARATION (DEG),ANTENNA MODEL,10,FALSE,TRUE,,N/A,ANT
,LOBE REPEAT COUNT,ANTENNA MODEL,10,FALSE,TRUE,,1,ANT
,LOBE WIDTH (DEG),ANTENNA MODEL,25,FALSE,TRUE,,2.000 DEG,ANT
,LOBE SEPARATION (DEG),ANTENNA MODEL,25,FALSE,TRUE,,N/A,ANT
,LOBE REPEAT COUNT,ANTENNA MODEL,25,FALSE,TRUE,,1,ANT
ModeName,Model,Main,0,FALSE,FALSE,,A123Z_EMITTER01,FREQ
LastUpdateDate,Created,Main,2,FALSE,FALSE,to_timestamp,,FREQ
,FREQUENCY NOTES,FREQUENCY MODEL,7,TRUE,FALSE,,,FREQ
SegmentName,FREQUENCY MODEL,FREQUENCY MODEL,9,FALSE,FALSE,,STABLE,FREQ
Frequency,FREQUENCY (MHZ),FREQUENCY MODEL,11,FALSE,TRUE,to_mhz,0.000000000,FREQ
DwellTime,DWELL TIME (MSEC),FREQUENCY MODEL,11,FALSE,TRUE,to_usec,0.000000000,FREQ
,FREQUENCY FILL,FREQUENCY MODEL,20,FALSE,FALSE,,NONE,FREQ
,DWELL TIME FILL,FREQUENCY MODEL,22,FALSE,FALSE,,STABLE,FREQ
DwellTime,VALUE,FREQUENCY MODEL,24,FALSE,FALSE,to_usec,0.00000 MSEC,FREQ
